Date, Element No, Used interval, SM16 Interval (new), SM17 Interval (new), SM17/SM16 Interval ratio, R (SM16), R (SM17)(exp), R (SM17), Grade, Success, abs RM16, abs RM17 (expected), abs RM17 (predicted), abs R-Metric, sqr R-Metric, Title,
May 04 2018 07:13:40,18,13,31,20,0.66,0.863,0.646,0.832,4,1,0.1374,0.3537,0.168,-0.0306,-0.0093,写可读的代码注释不但没能让代码变得可读，反而由于大量的注释充斥在代码中间，让程序变得障眼难读。而且代码的逻辑一旦修改，就会有很多的注释变得过时，需要更新。修改注释是相当大的负担，所以大量的注释。 .
May 05 2018 07:43:20,57,8,17,18,1.05,0.916,0.768,0.856,4,1,0.0844,0.2321,0.1441,-0.0597,-0.0136,3.6.4 检测字符串是否相等. 可以使用equals方法检测两个字符串是否相等。对于表达式：. 如果字符串s与字符串t相等，则返回true；否则，返回false。需要注意，s与t可以是字符串变量，. 也可以是字符串常量。例如，下列表达式是合法的:. 要想检测两个字符串是否相等，而不区分大小写，可以使用equalsIgnoreCase方法。 .
May 06 2018 12:55:16,78,3,8,1,0.13,0.968,0.934,0.917,2,0,0.9684,0.9336,0.9168,0.0516,0.0973,直接关联
May 06 2018 12:55:19,97,3,5,11,2.14,0.969,0.933,0.917,4,1,0.0308,0.0667,0.0832,-0.0524,-0.006,聚合
May 06 2018 12:55:22,89,3,5,11,2.14,0.97,0.933,0.917,4,1,0.0301,0.0667,0.0832,-0.0532,-0.006,关联
May 06 2018 12:55:29,95,3,5,11,2.14,0.971,0.933,0.917,4,1,0.0294,0.0666,0.0832,-0.0538,-0.0061,接口集成
May 06 2018 12:55:33,94,3,5,11,2.14,0.971,0.933,0.917,4,1,0.0288,0.0667,0.0832,-0.0544,-0.0061,继承
May 06 2018 12:55:58,46,14,2,1,0.5,0.52,0.62,0.823,2,0,0.5203,0.6203,0.8231,-0.3027,-0.4067,Math类提供了一些常用的三角函数：. Math.sin. Math.cos. Math.tan. Math.atan. Math.atan2. 还有指数函数以及它的反函数——自然对数：. Math.exp. Math.log. 最后，Java还提供了两个用于表示π和e常量的近似值：. Math.PI. Math.E. 提示：从JDK 5 .
May 06 2018 12:56:06,96,3,7,11,1.52,0.87,0.934,0.917,4,1,0.1299,0.0664,0.0832,0.0466,0.0099,依赖
May 07 2018 07:15:48,78,1,2,4,2.19,0.96,0.923,0.923,4,1,0.0402,0.0774,0.0774,-0.0371,-0.0044,直接关联
May 07 2018 07:15:59,55,10,34,18,0.53,0.697,0.717,0.849,4,1,0.3032,0.2833,0.1511,0.1521,0.0691,[.]. 返回一个新字符串。这个字符串将原始字符串中的所有小写字母改成了大写字母。
May 07 2018 07:16:09,46,1,2,4,2.18,0.964,0.923,0.923,4,1,0.0361,0.0773,0.0773,-0.0412,-0.0047,Math类提供了一些常用的三角函数：. Math.sin. Math.cos. Math.tan. Math.atan. Math.atan2. 还有指数函数以及它的反函数——自然对数：. Math.exp. Math.log. 最后，Java还提供了两个用于表示π和e常量的近似值：. Math.PI. Math.E. 提示：从JDK 5 .
