Date, Element No, SM16 Interval, SM17 Interval, SM17/SM16 Interval ratio, Predicted R (SM16), Predicted Exp R (SM17), Predicted Recall (SM17), Grade, Success, abs RM16, abs RM17 (expected), abs RM17 (predicted), abs R-Metric, Title,
Apr 25 2018 06:48:21,17,2,4,2.17,0.916,0.991,0.991,4,1,0.0841,0.0088,0.0088,0.0753,1989年，W.M.马特林通过描述一项实验说明了这一点。. 这项实验是由布尔和惠特洛克在十六年以前做的，. 目的是要找到图形对学习产生的效果。. 布尔和惠特洛克让九到十岁的小孩学习“大脑”、“杂志”、“麻烦”. 和“真理”这样一些词汇。孩子们分成三组。. 第一组读词汇和它的意义，写下来，. 再把词和词的意义用图形创造性地画下来。 .
Apr 25 2018 06:48:51,5,2,4,2.18,0.916,0.991,0.991,4,1,0.0841,0.0094,0.0094,0.0747,本章继续进行从第6章“幸福”练习开始的学习过程。. 从小型思维导图阶段开始，本章带你进人满幅思维导图的大门. ，. 告诉你如何把任何小型思维导图扩充成你所希望的任何大小的. 思维导图。. 扩大联想力量. 下一步要根据已经确定下来的指导原则扩大原来的“幸福”练习. 。. 你原来的十个词汇从中央“幸福”概念放射出来， .
Apr 28 2018 16:30:27,53,2,1,0.5,0.839,0.951,0.951,2,0,0.839,0.9508,0.9508,-0.1119,运动也是一个主要的助记手段，可用来促进思维导图。你的词汇、图片、整个的思维导图都可以移动一就像迪士尼乐园制作的一 些令人难忘的、精彩的动画片。为了让你的图像移动起来，你可以加 一些合适的视觉动感符号，举例如下。. ?字体、线条和图像的大小尽置多一些变化. 变化大小是[.]扩大尺寸可以突出重点，因而也就增大了想起它来的可能性。. ?间隔要有序 .
4月 29 2018 11:15:05,17,8,18,2.28,0.869,0.975,0.975,4,1,0.1311,0.0253,0.0253,0.1058,1989年，W.M.马特林通过描述一项实验说明了这一点。. 这项实验是由布尔和惠特洛克在十六年以前做的，. 目的是要找到图形对学习产生的效果。. 布尔和惠特洛克让九到十岁的小孩学习“大脑”、“杂志”、“麻烦”. 和“真理”这样一些词汇。孩子们分成三组。. 第一组读词汇和它的意义，写下来，. 再把词和词的意义用图形创造性地画下来。 .
4月 29 2018 11:15:33,5,8,18,2.31,0.869,0.975,0.975,4,1,0.1311,0.0249,0.0249,0.1062,本章继续进行从第6章“幸福”练习开始的学习过程。. 从小型思维导图阶段开始，本章带你进人满幅思维导图的大门. ，. 告诉你如何把任何小型思维导图扩充成你所希望的任何大小的. 思维导图。. 扩大联想力量. 下一步要根据已经确定下来的指导原则扩大原来的“幸福”练习. 。. 你原来的十个词汇从中央“幸福”概念放射出来， .
4月 29 2018 11:16:01,53,1,1,1,0.932,0.921,0.921,2,0,0.9322,0.9209,0.9209,0.0112,运动也是一个主要的助记手段，可用来促进思维导图。你的词汇、图片、整个的思维导图都可以移动一就像迪士尼乐园制作的一 些令人难忘的、精彩的动画片。为了让你的图像移动起来，你可以加 一些合适的视觉动感符号，举例如下。. ?字体、线条和图像的大小尽置多一些变化. 变化大小是[.]扩大尺寸可以突出重点，因而也就增大了想起它来的可能性。. ?间隔要有序 .
Apr 30 2018 16:09:08,53,2,7,3.74,0.943,0.881,0.881,4,1,0.0569,0.1191,0.1191,-0.0622,运动也是一个主要的助记手段，可用来促进思维导图。你的词汇、图片、整个的思维导图都可以移动一就像迪士尼乐园制作的一 些令人难忘的、精彩的动画片。为了让你的图像移动起来，你可以加 一些合适的视觉动感符号，举例如下。. ?字体、线条和图像的大小尽置多一些变化. 变化大小是[.]扩大尺寸可以突出重点，因而也就增大了想起它来的可能性。. ?间隔要有序 .
Apr 30 2018 16:09:29,46,14,28,2,0.704,0.902,0.902,4,1,0.2962,0.0981,0.0981,0.1981,1 突出重点. 强调重点，如我们一向所见，. 是改善记忆和提高创造力的重要因素之一。. 强调重点所使用到的一切技法都可以用在联想上，反过来亦然. 。. 下列规则使你能够取得思维导图中的最大成绩和最为合适地强. 调重点。. 一定要用中央图.   图形可以自动地吸引眼睛和大脑的注意力。.   它可以触发无数的联想， .
Apr 30 2018 16:10:08,49,2,1,0.5,0.916,0.97,0.97,2,0,0.9159,0.9703,0.9703,-0.0544,2 ?发挥联想. 联想是改善记忆力和创造力的另一个重要因素。它是人脑使用的另一个整合工貝?，目的是要让我们的生理体验产生意义，这是人脑记忆和理解的关键。. 建立了[.]，联想的力量就可以让人脑进人任何话题的深层次。. 正如已经提到的一样，仟何用于联想的方法都可以同样用于强调，反过来亦然。. ?要在分支模式的内外作连接时_可以使用箭头 .
May 01 2018 16:43:30,49,2,1,0.5,0.932,0.898,0.898,2,0,0.9322,0.8978,0.8978,0.0344,2 ?发挥联想. 联想是改善记忆力和创造力的另一个重要因素。它是人脑使用的另一个整合工貝?，目的是要让我们的生理体验产生意义，这是人脑记忆和理解的关键。. 建立了[.]，联想的力量就可以让人脑进人任何话题的深层次。. 正如已经提到的一样，仟何用于联想的方法都可以同样用于强调，反过来亦然。. ?要在分支模式的内外作连接时_可以使用箭头 .
May 02 2018 12:00:03,49,2,5,2.35,0.943,0.919,0.919,4,1,0.0569,0.0811,0.0811,-0.0243,2 ?发挥联想. 联想是改善记忆力和创造力的另一个重要因素。它是人脑使用的另一个整合工貝?，目的是要让我们的生理体验产生意义，这是人脑记忆和理解的关键。. 建立了[.]，联想的力量就可以让人脑进人任何话题的深层次。. 正如已经提到的一样，仟何用于联想的方法都可以同样用于强调，反过来亦然。. ?要在分支模式的内外作连接时_可以使用箭头 .
May 03 2018 13:35:00,45,2,1,0.5,0.541,0.836,0.836,1,0,0.5409,0.8357,0.8357,-0.2949,1 突出重点. 强调重点，如我们一向所见，. 是改善记忆和提高创造力的重要因素之一。. 强调重点所使用到的一切技法都可以用在联想上，反过来亦然. 。. 下列规则使你能够取得思维导图中的最大成绩和最为合适地强. 调重点。. 一定要用中央图.   图形可以自动地吸引眼睛和大脑的注意力。.   它可以触发无数的联想， .
May 03 2018 13:35:47,64,2,1,0.5,0.704,0.899,0.899,2,0,0.7038,0.8992,0.8992,-0.1953,2 ?发挥联想. 联想是改善记忆力和创造力的另一个重要因素。它是人脑使用的另一个整合工貝?，目的是要让我们的生理体验产生意义，这是人脑记忆和理解的关键。. 建立了中央图形和基本分类概念，联想的力量就可以让人脑进人任何话题的深层次。. 正如已经提到的一样，仟何用于联想的方法都可以同样用于强调，反过来亦然。. ?要在分支模式的内外作连接时_可以使用箭头 .
